time; video bitrate Kbps; audio bitrate Kbps; throttle bitrate (Kbps); id; video seconds
2023-01-25 22:00:52.000; 300; 64; 200; 00081; 315.861889
2023-01-25 22:00:55.000; 300; 64; 1600; 00082; 322.575445
2023-01-25 22:00:56.000; 300; 64; 1600; 00083; 323.596152
2023-01-25 22:00:57.000; 300; 64; 1600; 00084; 324.618866
2023-01-25 22:00:58.000; 300; 64; 1600; 00085; 325.641268
2023-01-25 22:00:59.000; 300; 64; 1600; 00085; 326.665048
2023-01-25 22:01:01.000; 300; 64; 1600; 00086; 328.196968
2023-01-25 22:01:01.000; 300; 256; 1600; 00086; 328.708701
2023-01-25 22:01:02.000; 300; 256; 1600; 00086; 329.731745
2023-01-25 22:01:03.000; 300; 320; 1600; 00086; 330.242855
2023-01-25 22:01:04.000; 300; 320; 1600; 00086; 331.265212
2023-01-25 22:01:04.000; 300; 320; 3200; 00086; 331.7803
2023-01-25 22:01:05.000; 1000; 320; 3200; 00085; 332.289289
2023-01-25 22:01:06.000; 1500; 320; 3200; 00085; 333.822841
2023-01-25 22:01:07.000; 1500; 320; 3200; 00086; 334.846734
2023-01-25 22:01:08.000; 2200; 320; 3200; 00086; 335.867734
2023-01-25 22:01:10.000; 2200; 320; 3200; 00087; 337.403066
2023-01-25 22:01:12.000; 2200; 320; 3200; 00087; 339.44813
2023-01-25 22:01:12.000; 2200; 320; 3200; 00088; 339.44813
2023-01-25 22:01:15.000; 2200; 320; 3200; 00089; 342.517758
2023-01-25 22:01:15.000; 2200; 320; 3200; 00089; 342.517758
2023-01-25 22:01:17.000; 2200; 320; 3200; 00090; 345.073861
2023-01-25 22:01:18.000; 2200; 320; 3200; 00090; 345.073861
2023-01-25 22:01:21.000; 2200; 320; 3200; 00090; 348.158702
2023-01-25 22:01:21.000; 2200; 320; 3200; 00091; 348.674215
2023-01-25 22:01:24.000; 2200; 320; 3200; 00091; 351.274238
2023-01-25 22:01:25.000; 2200; 320; 3200; 00092; 352.808485
2023-01-25 22:01:27.000; 2200; 320; 3200; 00092; 354.867069
2023-01-25 22:01:29.000; 2200; 320; 3200; 00093; 356.912472
2023-01-25 22:01:32.000; 2200; 320; 3200; 00093; 358.957982
2023-01-25 22:01:32.000; 2200; 320; 3200; 00094; 360.49593
2023-01-25 22:01:35.000; 2200; 320; 3200; 00094; 362.568228
2023-01-25 22:01:37.000; 2200; 320; 3200; 00095; 364.10274
2023-01-25 22:01:38.000; 2200; 320; 3200; 00095; 365.637672
2023-01-25 22:01:41.000; 2200; 320; 3200; 00096; 368.722863
2023-01-25 22:01:43.000; 2200; 320; 3200; 00096; 370.261038
2023-01-25 22:01:45.000; 2200; 320; 3200; 00097; 372.829913
2023-01-25 22:01:47.000; 2200; 320; 3200; 00097; 374.363674
2023-01-25 22:01:49.000; 2200; 320; 3200; 00098; 376.409326
2023-01-25 22:01:51.000; 2200; 320; 3200; 00098; 377.944031
2023-01-25 22:01:53.000; 2200; 320; 3200; 00099; 380.503435
2023-01-25 22:01:55.000; 2200; 320; 2000; 00099; 382.579587
2023-01-25 22:01:57.000; 2200; 320; 2000; 00100; 384.127743
2023-01-25 22:01:59.000; 2200; 320; 2000; 00100; 386.685088
2023-01-25 22:02:01.000; 2200; 320; 2000; 00101; 388.219136
2023-01-25 22:02:03.000; 2200; 320; 2000; 00101; 390.791891
2023-01-25 22:02:05.000; 2200; 320; 2000; 00102; 392.327107
2023-01-25 22:02:07.000; 2200; 320; 2000; 00102; 394.897588
2023-01-25 22:02:09.000; 2200; 320; 2000; 00103; 396.433906
2023-01-25 22:02:12.000; 2200; 320; 2000; 00103; 398.989752
2023-01-25 22:02:13.000; 2200; 320; 2000; 00104; 400.525069
2023-01-25 22:02:16.000; 2200; 320; 1600; 00104; 403.624952
2023-01-25 22:02:17.000; 2200; 320; 1600; 00105; 404.64823
2023-01-25 22:02:20.000; 2200; 320; 1600; 00105; 408.241741
2023-01-25 22:02:21.000; 2200; 320; 1600; 00106; 408.241741
2023-01-25 22:02:24.000; 2200; 320; 1000; 00106; 411.826551
2023-01-25 22:02:25.000; 2200; 320; 1000; 00107; 412.86637
2023-01-25 22:02:26.000; 300; 320; 1000; 00107; 413.389113
2023-01-25 22:02:28.000; 300; 320; 1000; 00108; 415.94415
2023-01-25 22:02:29.000; 300; 320; 1000; 00108; 416.455177
